age_range,gender,semester_year,academic_stress,financial_stress,family_stress,career_stress,time_management_stress,relationship_stress,study_motivation,screen_time,family_support,teacher_support,loneliness,semester_break_thought,last_semester_gpa,current_cgpa,class_attendance,study_hours,academic_backlog,result_drop,tuition_pressure,part_time_work_effect,pressure_for_marriage,continue_study_if_married
18–25,Male / পুরুষ,6th semester / ৬ষ্ঠ সেমিস্টার,মাঝারি,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,Less than 1 hour / ১ ঘণ্টার কম,Neutral / নিরপেক্ষ,Agree / সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,Rarely / খুব কম,2.00–2.49,2.50–2.99,65%–74%,Less than 1 hour / ১ ঘণ্টার কম,Yes,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Very high pressure,Probably continue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,মাঝারি,সামান্য/নেই,মাঝারি,মাঝারি,মাঝারি,সামান্য/নেই,Very low / খুব কম,1–2 hours / ১–২ ঘণ্টা,Neutral / নিরপেক্ষ,Disagree / অসম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,Often / প্রায়ই,3.00–3.49,2.50–2.99,75%–89%,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, significantly / হ্যাঁ, অনেক কমেছে",No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely discontinue
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,বেশি,বেশি,বেশি,বেশি,সামান্য/নেই,বেশি,Very high / খুব বেশি,4–6 hours / ৪–৬ ঘণ্টা,Neutral / নিরপেক্ষ,Disagree / অসম্মত,Agree / সম্মত,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",2.00–2.49,3.00–3.49,65%–74%,1–2 hours / ১–২ ঘণ্টা,No,Not sure / নিশ্চিত নই,Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Not sure
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,বেশি,বেশি,মাঝারি,বেশি,বেশি,বেশি,Low / কম,4–6 hours / ৪–৬ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Agree / সম্মত,Often / প্রায়ই,3.50–4.00,3.50–4.00,75%–89%,1–2 hours / ১–২ ঘণ্টা,No,Not sure / নিশ্চিত নই,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably continue
18–25,Male / পুরুষ,4th semester / ৪র্থ সেমিস্টার,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,বেশি,মাঝারি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Disagree / অসম্মত,Disagree / অসম্মত,Agree / সম্মত,Sometimes / মাঝে মাঝে,3.00–3.49,2.50–2.99,75%–89%,1–2 hours / ১–২ ঘণ্টা,No,Not sure / নিশ্চিত নই,High pressure / বেশি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",No pressure,Definitely continue
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,সামান্য/নেই,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,মাঝারি,Low / কম,1–2 hours / ১–২ ঘণ্টা,Neutral / নিরপেক্ষ,Agree / সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Often / প্রায়ই,3.00–3.49,2.50–2.99,75%–89%,2–4 hours / ২–৪ ঘণ্টা,Yes,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably discontinue
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,সামান্য/নেই,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,মাঝারি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Agree / সম্মত,Rarely / খুব কম,3.00–3.49,3.00–3.49,75%–89%,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,Very high pressure / খুব বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Not sure
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,বেশি,সামান্য/নেই,মাঝারি,মাঝারি,মাঝারি,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Agree / সম্মত,Neutral / নিরপেক্ষ,Strongly disagree / সম্পূর্ণ অসম্মত,Rarely / খুব কম,2.00–2.49,2.00–2.49,65%–74%,2–4 hours / ২–৪ ঘণ্টা,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",High pressure / বেশি চাপ,"Yes, it slightly affects my study / করি, সামান্য প্রভাব ফেলে",Moderate pressure,Probably continue
18–25,Female / নারী,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,মাঝারি,মাঝারি,Very low / খুব কম,Less than 1 hour / ১ ঘণ্টার কম,Disagree / অসম্মত,Disagree / অসম্মত,Neutral / নিরপেক্ষ,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",2.50–2.99,2.50–2.99,50%–64%,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely discontinue
18–25,Male / পুরুষ,2nd semester / ২য় সেমিস্টার,সামান্য/নেই,মাঝারি,মাঝারি,মাঝারি,বেশি,মাঝারি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Disagree / অসম্মত,Disagree / অসম্মত,Disagree / অসম্মত,Sometimes / মাঝে মাঝে,2.00–2.49,2.50–2.99,50%–64%,Less than 1 hour / ১ ঘণ্টার কম,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Low pressure / কম চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",Very high pressure,Definitely continue
