age_range,gender,semester_year,academic_stress,financial_stress,family_stress,career_stress,time_management_stress,relationship_stress,study_motivation,screen_time,family_support,teacher_support,loneliness,semester_break_thought,last_semester_gpa,current_cgpa,class_attendance,study_hours,academic_backlog,result_drop,tuition_pressure,part_time_work_effect,pressure_for_marriage,continue_study_if_married
18–25,Male / পুরুষ,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,মাঝারি,বেশি,"মাঝারি, বেশি",বেশি,বেশি,"মাঝারি, বেশি",Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,No / না,3.00–3.49,3.00–3.49,75%–89%,1–2 hours / ১–২ ঘণ্টা,No,No / না,High pressure / বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably discontinue
18–25,Male / পুরুষ,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,বেশি,বেশি,বেশি,বেশি,সামান্য/নেই,"সামান্য/নেই, বেশি",Low / কম,More than 6 hours / ৬ ঘণ্টার বেশি,Agree / সম্মত,Agree / সম্মত,Strongly agree / সম্পূর্ণ সম্মত,No / না,3.00–3.49,2.50–2.99,75%–89%,1–2 hours / ১–২ ঘণ্টা,Yes,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Very high pressure / খুব বেশি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",High pressure,Definitely continue
18–25,Female / নারী,6th semester / ৬ষ্ঠ সেমিস্টার,বেশি,বেশি,সামান্য/নেই,"মাঝারি, বেশি",মাঝারি,মাঝারি,Low / কম,More than 6 hours / ৬ ঘণ্টার বেশি,Agree / সম্মত,Agree / সম্মত,Neutral / নিরপেক্ষ,Sometimes / মাঝে মাঝে,3.00–3.49,3.00–3.49,75%–89%,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Not sure
18–25,Male / পুরুষ,6th semester / ৬ষ্ঠ সেমিস্টার,বেশি,মাঝারি,মাঝারি,বেশি,বেশি,বেশি,Low / কম,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,No / না,2.50–2.99,2.50–2.99,75%–89%,Less than 1 hour / ১ ঘণ্টার কম,Yes,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably continue
18–25,Female / নারী,6th semester / ৬ষ্ঠ সেমিস্টার,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,1–2 hours / ১–২ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Agree / সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,75%–89%,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Very high pressure,Definitely discontinue
18–25,Female / নারী,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,মাঝারি,সামান্য/নেই,সামান্য/নেই,মাঝারি,সামান্য/নেই,সামান্য/নেই,High / বেশি,4–6 hours / ৪–৬ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Agree / সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,2–4 hours / ২–৪ ঘণ্টা,No,No / না,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Moderate pressure,Probably continue
18–25,Male / পুরুষ,6th semester / ৬ষ্ঠ সেমিস্টার,মাঝারি,বেশি,বেশি,বেশি,বেশি,মাঝারি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,No / না,3.00–3.49,3.00–3.49,90% or above / ৯০% বা তার বেশি,1–2 hours / ১–২ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",High pressure,Definitely continue
18–25,Female / নারী,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,মাঝারি,বেশি,বেশি,মাঝারি,মাঝারি,সামান্য/নেই,High / বেশি,2–4 hours / ২–৪ ঘণ্টা,Agree / সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,No / না,3.00–3.49,3.00–3.49,50%–64%,1–2 hours / ১–২ ঘণ্টা,No,Not sure / নিশ্চিত নই,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Very high pressure,Not sure
26–30,Male / পুরুষ,8th semester or above / ৮ম সেমিস্টার বা এর বেশি,বেশি,বেশি,বেশি,বেশি,বেশি,বেশি,Very low / খুব কম,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly disagree / সম্পূর্ণ অসম্মত,Agree / সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.00–3.49,2.50–2.99,75%–89%,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Very high pressure / খুব বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably discontinue
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,মাঝারি,বেশি,বেশি,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Agree / সম্মত,Agree / সম্মত,No / না,2.50–2.99,2.50–2.99,65%–74%,Less than 1 hour / ১ ঘণ্টার কম,Yes,No / না,Moderate pressure / মাঝারি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",No pressure,Definitely continue
18–25,Male / পুরুষ,2nd semester / ২য় সেমিস্টার,বেশি,বেশি,মাঝারি,বেশি,মাঝারি,সামান্য/নেই,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Disagree / অসম্মত,No / না,3.00–3.49,3.00–3.49,90% or above / ৯০% বা তার বেশি,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably continue
18–25,Male / পুরুষ,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,মাঝারি,মাঝারি,বেশি,বেশি,"সামান্য/নেই, মাঝারি",মাঝারি,Very low / খুব কম,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Definitely discontinue
18–25,Male / পুরুষ,6th semester / ৬ষ্ঠ সেমিস্টার,মাঝারি,বেশি,বেশি,বেশি,বেশি,বেশি,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Disagree / অসম্মত,Rarely / খুব কম,3.00–3.49,3.50–4.00,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,Low pressure / কম চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",No pressure,Not sure
18–25,Female / নারী,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Neutral / নিরপেক্ষ,Strongly agree / সম্পূর্ণ সম্মত,Agree / সম্মত,Often / প্রায়ই,2.00–2.49,2.50–2.99,65%–74%,1–2 hours / ১–২ ঘণ্টা,Yes,No / না,Moderate pressure / মাঝারি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",No pressure,Probably continue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,বেশি,বেশি,বেশি,মাঝারি,মাঝারি,বেশি,Low / কম,4–6 hours / ৪–৬ ঘণ্টা,Disagree / অসম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,Neutral / নিরপেক্ষ,Sometimes / মাঝে মাঝে,3.00–3.49,2.00–2.49,50%–64%,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Very high pressure / খুব বেশি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",Moderate pressure,Definitely continue
18–25,Female / নারী,1st semester / 1st year / ১ম সেমিস্টার / ১ম বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Very high / খুব বেশি,Less than 1 hour / ১ ঘণ্টার কম,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably discontinue
26–30,Male / পুরুষ,6th semester / ৬ষ্ঠ সেমিস্টার,মাঝারি,বেশি,মাঝারি,বেশি,বেশি,বেশি,Low / কম,More than 6 hours / ৬ ঘণ্টার বেশি,Neutral / নিরপেক্ষ,Agree / সম্মত,Agree / সম্মত,Rarely / খুব কম,2.50–2.99,3.00–3.49,65%–74%,2–4 hours / ২–৪ ঘণ্টা,Yes,Not sure / নিশ্চিত নই,High pressure / বেশি চাপ,"Yes, it moderately affects my study / করি, মাঝারি প্রভাব ফেলে",Very high pressure,Probably continue
18–25,Female / নারী,2nd semester / ২য় সেমিস্টার,সামান্য/নেই,মাঝারি,মাঝারি,মাঝারি,মাঝারি,সামান্য/নেই,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Disagree / অসম্মত,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Often / প্রায়ই,3.00–3.49,2.50–2.99,75%–89%,2–4 hours / ২–৪ ঘণ্টা,No,No / না,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely discontinue
18–25,Female / নারী,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,মাঝারি,বেশি,মাঝারি,মাঝারি,মাঝারি,মাঝারি,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Neutral / নিরপেক্ষ,Rarely / খুব কম,3.00–3.49,3.50–4.00,65%–74%,1–2 hours / ১–২ ঘণ্টা,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,"Yes, it slightly affects my study / করি, সামান্য প্রভাব ফেলে",No pressure,Not sure
26–30,3rd gender / হিজড়া,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,মাঝারি,সামান্য/নেই,মাঝারি,বেশি,মাঝারি,বেশি,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Neutral / নিরপেক্ষ,Agree / সম্মত,Disagree / অসম্মত,Often / প্রায়ই,2.00–2.49,2.50–2.99,75%–89%,Less than 1 hour / ১ ঘণ্টার কম,Yes,No / না,High pressure / বেশি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",High pressure,Definitely continue
18–25,Male / পুরুষ,1st semester / 1st year / ১ম সেমিস্টার / ১ম বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Very high / খুব বেশি,Less than 1 hour / ১ ঘণ্টার কম,Agree / সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably continue
26–30,Female / নারী,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,সামান্য/নেই,মাঝারি,বেশি,মাঝারি,মাঝারি,বেশি,Low / কম,2–4 hours / ২–৪ ঘণ্টা,Strongly disagree / সম্পূর্ণ অসম্মত,Disagree / অসম্মত,Agree / সম্মত,Often / প্রায়ই,Below 2.00 / ২.০০ এর নিচে,3.00–3.49,65%–74%,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Very high pressure / খুব বেশি চাপ,"Yes, it moderately affects my study / করি, মাঝারি প্রভাব ফেলে",No pressure,Probably discontinue
26–30,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Very high / খুব বেশি,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Moderate pressure,Not sure
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,মাঝারি,সামান্য/নেই,মাঝারি,বেশি,সামান্য/নেই,মাঝারি,High / বেশি,Less than 1 hour / ১ ঘণ্টার কম,Strongly agree / সম্পূর্ণ সম্মত,Agree / সম্মত,Disagree / অসম্মত,No / না,3.00–3.49,2.50–2.99,75%–89%,1–2 hours / ১–২ ঘণ্টা,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely continue
18–25,Male / পুরুষ,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,সামান্য/নেই,বেশি,বেশি,বেশি,বেশি,বেশি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Disagree / অসম্মত,Disagree / অসম্মত,Neutral / নিরপেক্ষ,Rarely / খুব কম,3.00–3.49,2.50–2.99,65%–74%,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Very high pressure / খুব বেশি চাপ,"Yes, it slightly affects my study / করি, সামান্য প্রভাব ফেলে",Very high pressure,Probably continue
18–25,Male / পুরুষ,4th semester / ৪র্থ সেমিস্টার,সামান্য/নেই,মাঝারি,সামান্য/নেই,বেশি,বেশি,মাঝারি,Low / কম,1–2 hours / ১–২ ঘণ্টা,Disagree / অসম্মত,Neutral / নিরপেক্ষ,Disagree / অসম্মত,Often / প্রায়ই,2.50–2.99,2.50–2.99,75%–89%,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",High pressure / বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely discontinue
18–25,Male / পুরুষ,1st semester / 1st year / ১ম সেমিস্টার / ১ম বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Very high / খুব বেশি,1–2 hours / ১–২ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably continue
18–25,3rd gender / হিজড়া,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,সামান্য/নেই,মাঝারি,বেশি,মাঝারি,মাঝারি,মাঝারি,Low / কম,More than 6 hours / ৬ ঘণ্টার বেশি,Disagree / অসম্মত,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Often / প্রায়ই,3.00–3.49,2.00–2.49,50%–64%,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Very high pressure / খুব বেশি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",High pressure,Not sure
18–25,Male / পুরুষ,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,মাঝারি,সামান্য/নেই,বেশি,মাঝারি,বেশি,Low / কম,More than 6 hours / ৬ ঘণ্টার বেশি,Neutral / নিরপেক্ষ,Strongly disagree / সম্পূর্ণ অসম্মত,Neutral / নিরপেক্ষ,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",3.00–3.49,3.50–4.00,65%–74%,More than 4 hours / ৪ ঘণ্টার বেশি,No,Not sure / নিশ্চিত নই,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Definitely continue
30–35,Female / নারী,4th semester / ৪র্থ সেমিস্টার,সামান্য/নেই,বেশি,বেশি,বেশি,মাঝারি,বেশি,Moderate / মাঝারি,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Disagree / অসম্মত,Neutral / নিরপেক্ষ,Often / প্রায়ই,3.00–3.49,2.50–2.99,50%–64%,1–2 hours / ১–২ ঘণ্টা,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",Moderate pressure,Probably discontinue
26–30,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Very high / খুব বেশি,Less than 1 hour / ১ ঘণ্টার কম,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely discontinue
18–25,Female / নারী,6th semester / ৬ষ্ঠ সেমিস্টার,সামান্য/নেই,সামান্য/নেই,মাঝারি,মাঝারি,বেশি,মাঝারি,Moderate / মাঝারি,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Disagree / অসম্মত,Disagree / অসম্মত,Sometimes / মাঝে মাঝে,Below 2.00 / ২.০০ এর নিচে,2.50–2.99,65%–74%,2–4 hours / ২–৪ ঘণ্টা,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Very high pressure / খুব বেশি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",Very high pressure,Probably continue
26–30,Male / পুরুষ,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Very high / খুব বেশি,Less than 1 hour / ১ ঘণ্টার কম,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,Rarely / খুব কম,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Not sure
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,সামান্য/নেই,বেশি,মাঝারি,বেশি,সামান্য/নেই,বেশি,High / বেশি,4–6 hours / ৪–৬ ঘণ্টা,Agree / সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,Agree / সম্মত,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",2.00–2.49,2.50–2.99,90% or above / ৯০% বা তার বেশি,2–4 hours / ২–৪ ঘণ্টা,No,No / না,Moderate pressure / মাঝারি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",No pressure,Definitely continue
26–30,Male / পুরুষ,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,সামান্য/নেই,মাঝারি,মাঝারি,মাঝারি,মাঝারি,সামান্য/নেই,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Disagree / অসম্মত,Sometimes / মাঝে মাঝে,2.00–2.49,2.00–2.49,90% or above / ৯০% বা তার বেশি,2–4 hours / ২–৪ ঘণ্টা,Yes,No / না,High pressure / বেশি চাপ,"Yes, it moderately affects my study / করি, মাঝারি প্রভাব ফেলে",High pressure,Probably continue
26–30,Female / নারী,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,মাঝারি,বেশি,বেশি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,Often / প্রায়ই,2.50–2.99,2.00–2.49,75%–89%,Less than 1 hour / ১ ঘণ্টার কম,Yes,No / না,Very high pressure / খুব বেশি চাপ,"Yes, it highly affects my study / করি, অনেক বেশি প্রভাব ফেলে",No pressure,Probably discontinue
18–25,Male / পুরুষ,8th semester or above / ৮ম সেমিস্টার বা এর বেশি,মাঝারি,মাঝারি,মাঝারি,বেশি,মাঝারি,সামান্য/নেই,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Disagree / অসম্মত,No / না,3.00–3.49,3.00–3.49,90% or above / ৯০% বা তার বেশি,1–2 hours / ১–২ ঘণ্টা,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",High pressure / বেশি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",No pressure,Definitely continue
18–25,3rd gender / হিজড়া,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,মাঝারি,মাঝারি,মাঝারি,মাঝারি,মাঝারি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Agree / সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,Sometimes / মাঝে মাঝে,2.00–2.49,3.00–3.49,75%–89%,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",Moderate pressure,Not sure
18–25,Male / পুরুষ,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,সামান্য/নেই,মাঝারি,বেশি,সামান্য/নেই,মাঝারি,Moderate / মাঝারি,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Neutral / নিরপেক্ষ,Sometimes / মাঝে মাঝে,3.50–4.00,3.00–3.49,90% or above / ৯০% বা তার বেশি,2–4 hours / ২–৪ ঘণ্টা,No,Not sure / নিশ্চিত নই,High pressure / বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably continue
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,মাঝারি,মাঝারি,বেশি,সামান্য/নেই,মাঝারি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Disagree / অসম্মত,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Often / প্রায়ই,2.50–2.99,3.00–3.49,75%–89%,2–4 hours / ২–৪ ঘণ্টা,No,Not sure / নিশ্চিত নই,Moderate pressure / মাঝারি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",Very high pressure,Definitely discontinue
18–25,Male / পুরুষ,6th semester / ৬ষ্ঠ সেমিস্টার,মাঝারি,মাঝারি,বেশি,সামান্য/নেই,মাঝারি,মাঝারি,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Neutral / নিরপেক্ষ,Disagree / অসম্মত,No / না,2.00–2.49,3.50–4.00,50%–64%,1–2 hours / ১–২ ঘণ্টা,No,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably continue
18–25,Male / পুরুষ,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,মাঝারি,সামান্য/নেই,বেশি,বেশি,মাঝারি,বেশি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Strongly agree / সম্পূর্ণ সম্মত,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",3.00–3.49,3.00–3.49,75%–89%,1–2 hours / ১–২ ঘণ্টা,No,Not sure / নিশ্চিত নই,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Not sure
18–25,Male / পুরুষ,2nd semester / ২য় সেমিস্টার,মাঝারি,মাঝারি,বেশি,মাঝারি,সামান্য/নেই,বেশি,Moderate / মাঝারি,1–2 hours / ১–২ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Sometimes / মাঝে মাঝে,2.00–2.49,3.00–3.49,65%–74%,More than 4 hours / ৪ ঘণ্টার বেশি,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",High pressure / বেশি চাপ,"Yes, it moderately affects my study / করি, মাঝারি প্রভাব ফেলে",High pressure,Definitely continue
18–25,Male / পুরুষ,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,সামান্য/নেই,মাঝারি,মাঝারি,মাঝারি,বেশি,মাঝারি,Low / কম,Less than 1 hour / ১ ঘণ্টার কম,Disagree / অসম্মত,Agree / সম্মত,Disagree / অসম্মত,Rarely / খুব কম,2.00–2.49,2.50–2.99,65%–74%,More than 4 hours / ৪ ঘণ্টার বেশি,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",No pressure,Probably discontinue
